STATE,DISTRICT_NAME,AC_NO
Bihar,Banka,NA
Bihar,Gopalganj,NA
Bihar,Madhepura,NA
Bihar,Nalanda,NA
Bihar,Saharsa,NA
Bihar,Saran,NA
Bihar,Sheohar,NA
Chhattisgarh,Janjgir - Champa,NA
Haryana,Panchkula,NA
Jharkhand,Dumka,NA
Jharkhand,Palamu,NA
Jharkhand,Ramgarh,NA
Kerala,Kasaragod,NA
Madhya Pradesh,Jhabua,NA
Madhya Pradesh,Singrauli,NA
Maharashtra,Bhandara,NA
Maharashtra,Ratnagiri,NA
Maharashtra,Sindhudurg,NA
Odisha,Puri,NA
Punjab,Firozpur,NA
Punjab,Hoshiarpur,NA
Punjab,Rupnagar,NA
Rajasthan,Jaisalmer,NA
Rajasthan,Pali,NA
Rajasthan,Rajsamand,NA
Rajasthan,Sawai Madhopur,NA
Tamil Nadu,Pudukkottai,NA
Uttar Pradesh,Allahabad,NA
Uttar Pradesh,Bahraich,NA
Uttar Pradesh,Balrampur,NA
Uttar Pradesh,Chitrakoot,NA
Uttar Pradesh,Sultanpur,NA
