STATE,DISTRICT_NAME,DIST11,AC_NO,TOWN_POP,ELECTORS,POPULATION,REGION_TYPE,DIFF_POP_ELEC,map_type,NEW_REGION_TYPE
Andhra Pradesh,West Godavari,546,173,"38,867.00","337,620.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,174,"72,921.00","381,634.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,175,"85,861.00","319,232.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,176,0,"341,074.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,177,0,"309,462.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,178,"135,634.00","451,292.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,179,"37,265.00","404,496.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,West Godavari,546,180,"66,381.00","438,450.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,181,"100,873.00","386,050.00","3,128,189",Rural,-0.307,post,Urban
Andhra Pradesh,West Godavari,546,182,0,"375,870.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,West Godavari,546,183,0,"395,812.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,West Godavari,546,184,"191,963.00","414,096.00","808,777",Urban,0.307,post,Urban
Andhra Pradesh,West Godavari,546,185,0,"428,758.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,West Godavari,546,186,0,"381,622.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,West Godavari,546,187,0,"480,042.00","3,128,189",Rural,-0.307,post,Rural
Andhra Pradesh,East Godavari,545,154,"49,546.00","395,388.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,155,0,"369,640.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,156,"49,639.00","426,304.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,157,"282,650.00","443,400.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,158,"97,849.00","389,878.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,159,0,"406,578.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,160,0,"414,222.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,161,0,"363,292.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,162,0,"416,594.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,163,"82,463.00","382,994.00","3,840,324",Rural,-0.294,post,Urban
Andhra Pradesh,East Godavari,545,164,"15,155.00","348,166.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,165,0,"366,200.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,166,0,"446,592.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,167,"87,432.00","391,892.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,168,0,"374,370.00","3,840,324",Rural,-0.294,post,Rural
Andhra Pradesh,East Godavari,545,169,"305,490.00","459,484.00","1,313,972",Urban,0.294,post,Urban
Andhra Pradesh,East Godavari,545,170,0,"454,108.00","1,313,972",Urban,0.294,post,Urban
